class,parent,header,offset,type,field
AABB2D,,ZoneManager.h,0x0,float,x
AABB2D,,ZoneManager.h,0x0,ZoneMap*,zone
AABB2D,,ZoneManager.h,0x0,ZoneSpacialGrid::ZoneCell**,zones
AABB2D,,ZoneManager.h,0x0,ZoneMapContent*,mapContent
AABB2D,,ZoneManager.h,0x0,bool,_zoneBeingLoaded
AABB2D,,ZoneManager.h,0x0,ParticleSystemHandler*,particle
AABB2D,,ZoneManager.h,0x0,unsigned int,limit
AABB2D,,ZoneManager.h,0x1,bool,_zoneIsLoaded
AABB2D,,ZoneManager.h,0x4,float,y
AABB2D,,ZoneManager.h,0x4,unsigned int,lastIndex
AABB2D,,ZoneManager.h,0x8,float,x2
AABB2D,,ZoneManager.h,0x8,SpacialCell**,cells
AABB2D,,ZoneManager.h,0x8,function*,createCellsFunc
AABB2D,,ZoneManager.h,0x8,boost::recursive_mutex,swapMutex
AABB2D,,ZoneManager.h,0x8,boost::shared_mutex,swapMutex
AABB2D,,ZoneManager.h,0x8,MapFeatureList*,mapFeatures
AABB2D,,ZoneManager.h,0x8,GameData*,effectData
AABB2D,,ZoneManager.h,0x8,ParticlePool::ParticleData*,particles
AABB2D,,ZoneManager.h,0x8,bool,justLoadedAGame
AABB2D,,ZoneManager.h,0xC,float,y2
AABB2D,,ZoneManager.h,0x10,int,cellCount
AABB2D,,ZoneManager.h,0x10,ZoneSmell*,zoneSmell
AABB2D,,ZoneManager.h,0x10,Ogre::SceneNode*,node
AABB2D,,ZoneManager.h,0x10,float,maxTTL
AABB2D,,ZoneManager.h,0x10,ZoneSpacialGrid,characterGrid
AABB2D,,ZoneManager.h,0x14,float,cellSize
AABB2D,,ZoneManager.h,0x18,boost::shared_mutex,mutex
AABB2D,,ZoneManager.h,0x18,iVector2,coordinates
AABB2D,,ZoneManager.h,0x20,"std::set<T, std::less<T>, std::allocator<T> >",mainThreadData
AABB2D,,ZoneManager.h,0x20,int,island
AABB2D,,ZoneManager.h,0x24,bool,hasFile
AABB2D,,ZoneManager.h,0x28,T,mainThreadData
AABB2D,,ZoneManager.h,0x28,BackThreadMessagesToMainT<ZONE_MESSAGE>,zoneIncomingMessagesT
AABB2D,,ZoneManager.h,0x2A,T,backThreadData
AABB2D,,ZoneManager.h,0x40,"std::set<T, std::less<T>, std::allocator<T> >",backThreadData
AABB2D,,ZoneManager.h,0x48,ZoneSpacialGrid,buildingGrid
