table_idx,class,mangled,demangled,rva_1.0.65,match_status,rva_1.0.68,size_1.0.68,offset_into_fn,cluster_size,cluster_classes,target_size
2,AABB2D,?setNull@AABB2D@@QEAAXXZ,AABB2D::setNull();,0xA07A60,INSIDE,0xA07A50,82,16,5,AABB2D|ZoneManager|ZoneMap,82
5,AABB2D,?sizeX@AABB2D@@QEBAMXZ,AABB2D::sizeX();,0xA07A70,INSIDE,0xA07A50,82,32,5,AABB2D|ZoneManager|ZoneMap,82
6,AABB2D,?sizeY@AABB2D@@QEBAMXZ,AABB2D::sizeY();,0xA07A80,INSIDE,0xA07A50,82,48,5,AABB2D|ZoneManager|ZoneMap,82
5888,ZoneManager,?getZoneMap@ZoneManager@@QEAAPEAVZoneMap@@HH@Z,"ZoneManager::getZoneMap(int, int);",0xA07C10,REFINED,0xA07A50,82,-448,5,AABB2D|ZoneManager|ZoneMap,82
5952,ZoneMap,?getTerrainSlope@ZoneMap@@QEAAMMM@Z,"ZoneMap::getTerrainSlope(float, float);",0xA07BF0,REFINED,0xA07A50,82,-416,5,AABB2D|ZoneManager|ZoneMap,82
11,AbstractMovementBase,?_CONSTRUCTOR@AbstractMovementBase@@QEAAPEAV1@XZ,,0x664430,NEAR,0x6643D0,68,-96,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
1426,CombatMovementController,?disable@CombatMovementController@@QEAAXXZ,CombatMovementController::disable();,0x663DF0,NEAR,0x6643D0,68,1504,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
1428,CombatMovementController,?_DESTRUCTOR@CombatMovementController@@QEAAXXZ,,0x664230,NEAR,0x6643D0,68,416,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
3647,MedianFilter2DVector,?_CONSTRUCTOR@MedianFilter2DVector@@QEAAPEAV1@XZ,,0x6641B0,NEAR,0x6643D0,68,544,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
3649,MedianFilter2DVector,?reset@MedianFilter2DVector@@QEAAXXZ,MedianFilter2DVector::reset();,0x664160,NEAR,0x6643D0,68,624,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
3650,MedianFilter2DVector,?_DESTRUCTOR@MedianFilter2DVector@@QEAAXXZ,,0x664190,NEAR,0x6643D0,68,576,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
4982,SpeedGroup,?erase@SpeedGroup@@QEAAXAEBVhand@@@Z,SpeedGroup::erase(const class hand &);,0x664220,NEAR,0x6643D0,68,432,7,AbstractMovementBase|CombatMovementController|MedianFilter2DVector|SpeedGroup,68
35,AbstractMovementBase,?setRoadPreference@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setRoadPreference(float);,0x663AA0,ORDERED,0x664900,165,3680,3,AbstractMovementBase|CombatClass,165
1337,CombatClass,?isAttacking@CombatClass@@QEAAMPEAVCharacter@@@Z,CombatClass::isAttacking(class Character *);,0x664990,INSIDE,0x664900,165,144,3,AbstractMovementBase|CombatClass,165
1339,CombatClass,?isStationary@CombatClass@@QEAA_NXZ,CombatClass::isStationary();,0x664970,INSIDE,0x664900,165,112,3,AbstractMovementBase|CombatClass,165
43,AbstractMovementBase,?setStandardWalkSpeed@AbstractMovementBase@@QEAAXM@Z,AbstractMovementBase::setStandardWalkSpeed(float);,0x620540,INSIDE,0x620490,265,176,3,AbstractMovementBase|CharBody|Dialogue,265
1111,CharBody,?_CONSTRUCTOR@CharBody@@QEAAPEAV1@XZ,,0x620580,INSIDE,0x620490,265,240,3,AbstractMovementBase|CharBody|Dialogue,265
1795,Dialogue,?_wordSwapCharacterName@Dialogue@@QEAAXAEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"Dialogue::_wordSwapCharacterName(class std::basic_string<char,std::char_traits<char>,std::allocator<char> > &);",0x620550,INSIDE,0x620490,265,192,3,AbstractMovementBase|CharBody|Dialogue,265
57,ActivePlatoon,?_recalculateIsIntact@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::_recalculateIsIntact();,0x79A150,INSIDE,0x799AF0,3133,1632,8,ActivePlatoon|GameWorld|Platoon|ZoneManager,3133
58,ActivePlatoon,?isAnyoneCaptured@ActivePlatoon@@QEAA_NXZ,ActivePlatoon::isAnyoneCaptured();,0x799FA0,INSIDE,0x799AF0,3133,1200,8,ActivePlatoon|GameWorld|Platoon|ZoneManager,3133
66,ActivePlatoon,?emptySquadCheck@ActivePlatoon@@QEAAXXZ,ActivePlatoon::emptySquadCheck();,0x799F70,INSIDE,0x799AF0,3133,1152,8,ActivePlatoon|GameWorld|Platoon|ZoneManager,3133
