table_idx,class,mangled,demangled,rva_1.0.65,match_status,rva_1.0.68,size_1.0.68,offset_into_fn
0,AABB2D,?_CONSTRUCTOR@AABB2D@@QEAAPEAV1@AEBVVector4@Ogre@@@Z,,0x8F3760,NEAR,0x8F3790,200,48
1,AABB2D,?_CONSTRUCTOR@AABB2D@@QEAAPEAV1@XZ,,0xA1C880,NEAR,0xA1C750,122,-304
2,AABB2D,?setNull@AABB2D@@QEAAXXZ,AABB2D::setNull();,0xA07A60,RESOLVED,0xA07A20,29,-64
3,AABB2D,?pointWithin@AABB2D@@QEBA_NAEBVVector3@Ogre@@@Z,AABB2D::pointWithin(const class Ogre::Vector3 &);,0x8F3780,NEAR,0x8F3790,200,16
4,AABB2D,?inflate@AABB2D@@QEAAXM@Z,AABB2D::inflate(float);,0x8F37C0,INSIDE,0x8F3790,200,48
5,AABB2D,?sizeX@AABB2D@@QEBAMXZ,AABB2D::sizeX();,0xA07A70,INSIDE,0xA07A50,82,32
6,AABB2D,?sizeY@AABB2D@@QEBAMXZ,AABB2D::sizeY();,0xA07A80,RESOLVED,0xA07A20,29,-96
7,AABB2D,?intersects@AABB2D@@QEBA_NAEBVVector3@Ogre@@M@Z,"AABB2D::intersects(const class Ogre::Vector3 &, float);",0x9B0770,BINDIFF_EXACT,0x9B1640,18,3792
8,AABB2D,?intersects@AABB2D@@QEBA_NAEBV1@@Z,AABB2D::intersects(const class AABB2D &);,0x9B0730,NEAR,0x9B0690,137,-160
9,AABB2D,?intersects@AABB2D@@QEBA_NAEBVVector3@Ogre@@0@Z,"AABB2D::intersects(const class Ogre::Vector3 &, const class Ogre::Vector3 &);",0x9B01A0,BINDIFF_EXACT,0x9B1070,449,3792
10,AABB2D,?intersects2@AABB2D@@QEBA?AVVector2@Ogre@@AEBV23@0@Z,"AABB2D::intersects2(const class Ogre::Vector2 &, const class Ogre::Vector2 &);",0x9B04A0,BINDIFF_EXACT,0x9B1370,449,3792
11,AbstractMovementBase,?_CONSTRUCTOR@AbstractMovementBase@@QEAAPEAV1@XZ,,0x664430,BINDIFF_EXACT,0x664EC0,5,2704
12,AbstractMovementBase,?_DESTRUCTOR@AbstractMovementBase@@QEAAXXZ,,0x662020,VTABLE,0x32E7F,5,-6484385
13,AbstractMovementBase,?create@AbstractMovementBase@@QEAAXVVector3@Ogre@@@Z,AbstractMovementBase::create(class Ogre::Vector3);,0x7EB0A0,BINDIFF_EXACT,0x7EBC40,1106,2976
14,AbstractMovementBase,?_NV_getHandle@AbstractMovementBase@@QEAA?AVhand@@XZ,,0x664730,VTABLE,0x8DE1,5,-6666575
15,AbstractMovementBase,?_NV__setPositionAndTeleport@AbstractMovementBase@@QEAAXVVector3@Ogre@@H@Z,,0x6645E0,VTABLE,0x1D75A,5,-6581894
16,AbstractMovementBase,?_NV__setPositionSimple@AbstractMovementBase@@QEAAXVVector3@Ogre@@@Z,,0x664600,VTABLE,0x322B3,5,-6497101
17,AbstractMovementBase,?_NV_faceDirection@AbstractMovementBase@@QEAAXAEBVVector3@Ogre@@@Z,,0x664620,VTABLE,0x130D9,5,-6624583
18,AbstractMovementBase,?_NV_lookatPosition@AbstractMovementBase@@QEAAXAEBVVector3@Ogre@@@Z,,0x664630,VTABLE,0x3B084,5,-6460844
19,AbstractMovementBase,?_NV_getPosition@AbstractMovementBase@@QEBAAEBVVector3@Ogre@@XZ,,0x664640,NEAR,0x664620,5,-32
20,AbstractMovementBase,?getFacingDirection@AbstractMovementBase@@QEBAAEBVVector3@Ogre@@XZ,AbstractMovementBase::getFacingDirection();,0x2AE000,NEAR,0x2AE010,24,16
21,AbstractMovementBase,?getDestination@AbstractMovementBase@@QEBA?AVVector3@Ogre@@XZ,AbstractMovementBase::getDestination();,0x65DD40,BINDIFF_GOOD,0x65E7D0,32,2704
22,AbstractMovementBase,?isProbablyStuck@AbstractMovementBase@@QEBA_NXZ,AbstractMovementBase::isProbablyStuck();,0x60C1A0,INSIDE,0x60C140,137,96
23,AbstractMovementBase,?_NV_pathOk@AbstractMovementBase@@QEBA_NXZ,,0x664650,NEAR,0x664620,5,-48
